time,open,high,low,close,tick_volume,spread,real_volume
2023-01-03 01:00:00,1827.05,1830.67,1826.35,1826.92,756,12,0
2023-01-03 01:15:00,1826.89,1829.11,1824.07,1828.28,776,12,0
2023-01-03 01:30:00,1828.25,1828.4,1827.01,1827.8,498,12,0
2023-01-03 01:45:00,1827.8,1829.47,1827.71,1829.44,520,12,0
2023-01-03 02:00:00,1829.44,1832.06,1828.78,1831.59,769,12,0
2023-01-03 02:15:00,1831.62,1832.21,1830.21,1831.34,915,12,0
2023-01-03 02:30:00,1831.38,1832.06,1831.28,1831.36,394,12,0
2023-01-03 02:45:00,1831.34,1831.62,1830.23,1830.72,441,12,0
2023-01-03 03:00:00,1830.65,1832.43,1827.55,1829.55,1438,12,0
2023-01-03 03:15:00,1829.61,1830.84,1826.88,1828.17,1515,12,0
2023-01-03 03:30:00,1828.16,1830.58,1826.89,1827.81,1401,12,0
2023-01-03 03:45:00,1827.76,1829.88,1827.01,1828.56,1137,12,0
2023-01-03 04:00:00,1828.51,1831.01,1828.51,1829.68,1145,12,0
2023-01-03 04:15:00,1829.68,1830.76,1828.31,1830.5,927,12,0
2023-01-03 04:30:00,1830.5,1838.43,1830.45,1838.13,1260,12,0
2023-01-03 04:45:00,1838.25,1839.87,1837.27,1838.38,1377,12,0
2023-01-03 05:00:00,1838.37,1841.3,1838.37,1840.95,1201,12,0
2023-01-03 05:15:00,1840.95,1843.12,1840.01,1841.64,1127,12,0
2023-01-03 05:30:00,1841.65,1841.83,1840.5,1841.06,782,12,0
2023-01-03 05:45:00,1841.04,1842.19,1840.48,1841.18,758,12,0
2023-01-03 06:00:00,1841.2,1842.1,1840.82,1841.88,756,12,0
2023-01-03 06:15:00,1841.9,1841.95,1840.56,1841.18,598,12,0
2023-01-03 06:30:00,1841.16,1842.1,1841.03,1841.84,677,12,0
2023-01-03 06:45:00,1841.84,1842.12,1840.34,1840.39,647,12,0
2023-01-03 07:00:00,1840.39,1841.15,1839.92,1840.0,671,12,0
2023-01-03 07:15:00,1840.0,1840.68,1838.0,1838.15,926,12,0
2023-01-03 07:30:00,1838.14,1840.24,1838.14,1840.13,997,12,0
2023-01-03 07:45:00,1840.13,1840.96,1839.66,1840.39,1014,12,0
2023-01-03 08:00:00,1840.41,1842.42,1840.37,1842.36,1175,12,0
2023-01-03 08:15:00,1842.39,1844.2,1841.74,1841.93,1121,12,0
2023-01-03 08:30:00,1841.91,1841.98,1840.06,1840.97,970,12,0
2023-01-03 08:45:00,1840.97,1842.27,1840.35,1842.0,819,12,0
2023-01-03 09:00:00,1842.06,1842.67,1841.03,1842.43,1111,12,0
2023-01-03 09:15:00,1842.47,1847.61,1842.42,1847.24,1342,12,0
2023-01-03 09:30:00,1847.24,1849.96,1847.01,1848.88,1535,12,0
2023-01-03 09:45:00,1848.86,1849.2,1844.76,1847.46,1587,12,0
2023-01-03 10:00:00,1847.52,1848.01,1842.42,1843.84,1899,12,0
2023-01-03 10:15:00,1843.85,1844.34,1838.8,1840.56,1799,12,0
2023-01-03 10:30:00,1840.62,1840.66,1836.44,1836.59,1818,12,0
2023-01-03 10:45:00,1836.57,1837.29,1834.59,1836.1,1600,12,0
2023-01-03 11:00:00,1836.1,1838.13,1834.79,1837.72,1862,12,0
2023-01-03 11:15:00,1837.72,1841.44,1837.6,1841.41,1440,12,0
2023-01-03 11:30:00,1841.38,1841.95,1837.64,1840.79,1622,12,0
2023-01-03 11:45:00,1840.81,1841.32,1838.09,1838.88,1304,12,0
2023-01-03 12:00:00,1838.83,1839.37,1838.17,1839.07,1103,12,0
2023-01-03 12:15:00,1839.06,1839.24,1837.6,1837.98,1072,12,0
2023-01-03 12:30:00,1837.98,1838.28,1834.45,1836.26,1272,12,0
2023-01-03 12:45:00,1836.32,1836.49,1833.73,1834.47,963,12,0
2023-01-03 13:00:00,1834.48,1834.82,1832.61,1832.69,1008,12,0
2023-01-03 13:15:00,1832.72,1834.42,1831.76,1833.18,1227,12,0
2023-01-03 13:30:00,1833.23,1833.53,1830.86,1831.23,999,12,0
2023-01-03 13:45:00,1831.2,1833.27,1830.93,1833.18,1178,12,0
2023-01-03 14:00:00,1833.14,1833.97,1831.72,1833.61,1250,12,0
2023-01-03 14:15:00,1833.61,1835.58,1833.28,1835.38,1008,12,0
2023-01-03 14:30:00,1835.38,1836.37,1833.9,1835.55,1006,12,0
2023-01-03 14:45:00,1835.58,1835.83,1833.74,1834.6,1069,12,0
2023-01-03 15:00:00,1834.68,1838.05,1834.15,1837.14,1737,12,0
2023-01-03 15:15:00,1837.14,1840.41,1837.05,1838.88,1754,12,0
2023-01-03 15:30:00,1838.86,1840.42,1837.05,1839.9,1695,12,0
2023-01-03 15:45:00,1839.89,1841.06,1838.5,1838.91,1537,12,0
2023-01-03 16:00:00,1838.92,1839.11,1836.72,1838.88,1510,12,0
2023-01-03 16:15:00,1838.88,1841.34,1838.83,1841.21,1413,12,0
2023-01-03 16:30:00,1841.2,1849.02,1839.49,1847.72,2393,12,0
2023-01-03 16:45:00,1847.8,1849.86,1844.96,1844.96,2196,12,0
2023-01-03 17:00:00,1845.0,1845.49,1837.87,1839.02,2151,12,0
2023-01-03 17:15:00,1839.03,1840.04,1832.66,1833.58,2026,12,0
2023-01-03 17:30:00,1833.62,1833.62,1827.57,1828.77,2163,12,0
2023-01-03 17:45:00,1828.78,1834.03,1828.25,1833.23,2063,12,0
2023-01-03 18:00:00,1833.23,1834.15,1828.9,1829.61,1832,12,0
2023-01-03 18:15:00,1829.62,1830.64,1828.35,1829.96,1649,12,0
2023-01-03 18:30:00,1830.0,1831.55,1828.73,1831.25,1515,12,0
2023-01-03 18:45:00,1831.25,1834.28,1828.56,1834.28,1552,12,0
